"ativo";"software";"categoria";"responsavel";"area";"status";"url";"twofa";"metodo_2fa";"quem_recebe_codigo";"risco";"proxima_acao"
"Dropbox InvestSmart";"Dropbox";"Armazenamento";"Bruno Aguiar";"Marketing";"Validado";"https://www.dropbox.com";"Sim";"E-mail";"Bruno Aguiar";"Baixo";"Validar com Bruno Aguiar e Angelo a governança atual da conta Dropbox.

Confirmar quem possui acesso ao e-mail designers@investsmart.com.br, validar se existe segundo administrador e revisar o método de recuperação da conta.

Remover qualquer dependência de senha compartilhada e formalizar a custódia do acesso com responsável oficial."
"GTM - Planeja Brasil";"Google Tag Manager";"Tracking / Google Tag Manager";"Marketing";"Marketing / Growth";"Validado";"https://tagmanager.google.com";"Não aplicável";"Não aplicável";"Não aplicável";"Médio";"Validar dentro do container GTM se GA4, Google Ads e eventos de conversão estão configurados corretamente para as páginas do Planeja Brasil."
"Abertura de Filial";"Landing Page";"Landing Page / Aquisição / Expansão";"Marketing";"Marketing / Growth";"Incompleto";"https://aberturadefilial.investsmart.com.br";"Não aplicável";"Não aplicável";"A validar";"Baixo";"Definir com o time o destino oficial dos leads da landing page Abertura de Filial.

Implementar envio real do formulário para CRM, webhook, HubSpot, RD Station, Bitrix, n8n, Make, Google Sheets, e-mail ou outro destino oficial definido.

Configurar confirmação real de recebimento antes de mostrar a tela de sucesso.

Instalar GTM com GA4, Meta Pixel e conversão do Google Ads, caso a página seja usada em mídia paga.

Configurar evento de conversão no submit real do formulário.

Confirmar qual domínio será considerado canônico em produção: https://aberturadefilial.investsmart.com.br ou https://aberturadefilial02.lovable.app.

Após corrigir envio, tracking e destino dos leads, atualizar o status para Validado."
"Abra sua Filial";"Landing Page";"Landing Page / Abertura de Filial";"Marketing";"Marketing / Growth";"A validar";"https://aberturadefilial02.lovable.app/";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Realizar teste real de lead na LP Abra sua Filial e confirmar se o cadastro aparece na planilha Google Sheets informada.

Validar qual camada faz o envio para a planilha: formulário direto, Google Apps Script, webhook, n8n, worker, backend, conector externo ou outro fluxo.

Confirmar quais campos estão sendo gravados na planilha: nome, e-mail, telefone, profissão/função, tempo de profissão, empresa/instituição, PL/custódia, source Futuro, campanha, pageUrl, UTMs e data de envio.

Definir quem acompanha a planilha e garantir visibilidade operacional para Jorge e/ou Samyr.

Instalar ou validar GTM, GA4, Meta Pixel e Google Ads Conversion Tag, disparando evento de conversão somente após envio real validado.

Confirmar qual domínio é o canônico em produção: aberturadefilial.investsmart.com.br ou URL Lovable.

Após teste confirmado, atualizar o status para Validado e revisar o risco operacional."
"Best Franquias";"Landing Page";"Landing Page / Franquias";"Marketing";"Marketing / Growth";"Validado";"https://bestfranquia.lovable.app";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Validar com Tecnologia se o fluxo n8n lp-best-franquias está ativo e para onde encaminha os leads.

Confirmar se o destino final é Bitrix, especialmente o item crm_dynamic_items_1166, ou outro canal operacional.

Validar se Jorge e/ou Samyr possuem visibilidade desses leads.

Confirmar se a palavra-chave Queromais / Quero Mais está configurada fora do código, como em ManyChat, WhatsApp, n8n, CRM ou outra automação.

Com Marketing, definir captura de UTMs, envio da URL da página, identificador textual da landing page no payload e tracking de conversão.

Com Processos, definir responsável pelo atendimento e criar backup ou alerta de falha para reduzir risco de perda de lead."
"Indique e Ganhe até R$ 5 mil";"Landing Page";"Landing Page / Indique e Ganhe";"Marketing";"Marketing / Growth";"A validar";"https://indiqueeganhe5mil.lovable.app/";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Realizar teste real de lead na LP Indique e Ganhe e confirmar se o cadastro aparece na planilha Google Sheets informada.

Validar qual camada faz o envio para a planilha: formulário direto, Google Apps Script, webhook, n8n, worker, backend, conector externo ou outro fluxo.

Confirmar quais campos estão sendo gravados na planilha: nome, e-mail, telefone, cidade/UF, source Dinheiro, campanha, pageUrl, UTMs e data de envio.

Definir quem acompanha a planilha e garantir visibilidade operacional para Jorge e/ou Samyr.

Validar o SLA prometido de 48h úteis na página.

Instalar ou validar GTM, GA4, Meta Pixel e evento de conversão somente após envio real confirmado.

Após teste confirmado, atualizar o status para Validado e revisar o risco operacional."
"Live ao Vivo / Melhor Profissão";"Landing Page";"Landing Page / Smart Carreiras";"Marketing";"Marketing / Growth";"Validado";"https://melhorprofissao.lovable.app";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Validar com Tecnologia o link e ID da planilha Google Sheets usada pela LP Live ao Vivo.

Confirmar quem possui acesso à aba Leads e quem acompanha os novos cadastros.

Definir responsável operacional e SLA de atendimento dos leads.

Avaliar criação de destino redundante, como banco, fila, webhook n8n ou CRM oficial, para reduzir dependência exclusiva do Google Sheets.

Implementar retry ou alerta de falha caso a gravação na planilha não ocorra.

Com Marketing, definir a UTM/parâmetro Quero Mudar ou Queromudar e incluir esse identificador no payload como source/campanha.

Instrumentar tracking de conversão com GTM, GA4 e/ou Meta Pixel na página /obrigado, disparando evento apenas após envio real confirmado.

Avaliar captura adicional de utm_term, utm_content, gclid, fbclid e referrer."
"Maracanã Glow Experience";"Landing Page";"Landing Page / Maracanã";"Marketing";"Marketing / Growth";"Validado";"https://maracana-glow-experience.lovable.app/";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Implementar integração adicional para que os leads captados pelo Bitrix24 também sejam gravados no Google Sheets informado.

Validar se a integração será feita via automação Bitrix, webhook, n8n, Google Apps Script, worker ou outro conector.

Após implementação, realizar teste real de lead e confirmar se o cadastro aparece tanto no Bitrix24 quanto na planilha Google Sheets.

Confirmar quais campos serão gravados na planilha: data/hora, nome, WhatsApp, e-mail, campanha, palavra-chave Torcedor, origem/source, pageUrl, UTMs, status no Bitrix, responsável e observações.

Confirmar se Jorge e/ou Samyr possuem acesso ou recebem notificação dos leads no Bitrix24 e na planilha.

Configurar ou validar captura de UTMs e origem dentro do Bitrix24.

Implementar ou validar evento Lead do Meta Pixel após confirmação real de envio do formulário Bitrix.

Criar fallback visual caso o embed Bitrix24 não carregue.

Após teste confirmado, atualizar o status da integração Google Sheets para Validado."
"Meu Novo Lar - Samyr";"Landing Page";"Landing Page / Meu Novo Lar";"Marketing";"Marketing / Growth";"Validado";"https://meu-novo-lar-samyr.lovable.app";"Não aplicável";"Não aplicável";"Não aplicável";"Médio";"Validar com Tecnologia e Processos quem monitora a aba Samyr da planilha leads_meu_novo_lar.

Confirmar se os registros com status_n8n = ERRO são acompanhados manualmente e qual é o SLA de correção.

Confirmar se o n8n encaminha os leads para Bitrix, e-mail, outro CRM ou apenas mantém a planilha como base operacional.

Validar se Jorge possui visibilidade do fluxo e se Samyr acessa ou recebe os leads da aba Samyr.

Avaliar criação de retry automático para o webhook n8n, backup/fila independente da planilha e implantação de tracking de conversão."
"Patrocínio Smart Summit - Samyr";"Landing Page";"Landing Page / Smart Summit";"Marketing";"Marketing / Growth";"A validar";"https://patrocinio-smart-summit-samyr.gestaobankrio.workers.dev";"Não aplicável";"Não aplicável";"Não aplicável";"Alto";"Realizar novo teste de lead na LP Patrocínio Smart Summit usando dados de auditoria.

Confirmar se o lead chega na planilha Google Sheets informada.

Validar qual camada faz o envio para a planilha: formulário direto, worker, webhook, n8n, Google Apps Script ou outro conector.

Confirmar quais campos estão sendo gravados na planilha e se incluem nome, WhatsApp, e-mail, source, palavra-chave, pageUrl, UTMs e data de envio.

Definir quem acompanha a planilha e garantir visibilidade para Jorge e/ou Samyr.

Após confirmação do teste real, atualizar o status para Validado e reduzir o risco operacional."
