"ativo";"software";"risco";"pendencia";"proxima_acao"
"Abertura de Filial";"Landing Page";"Crítico";"Quem recebe o código a validar";"Definir com o time o destino oficial dos leads da landing page Abertura de Filial.

Implementar envio real do formulário para CRM, webhook, HubSpot, RD Station, Bitrix, n8n, Make, Google Sheets, e-mail ou outro destino oficial definido.

Configurar confirmação real de recebimento antes de mostrar a tela de sucesso.

Instalar GTM com GA4, Meta Pixel e conversão do Google Ads, caso a página seja usada em mídia paga.

Configurar evento de conversão no submit real do formulário.

Confirmar qual domínio será considerado canônico em produção: https://aberturadefilial.investsmart.com.br ou https://aberturadefilial02.lovable.app.

Após corrigir envio, tracking e destino dos leads, atualizar o status para Validado."
"Abertura de Filial";"Landing Page";"Alto";"Sem segundo administrador";"Definir com o time o destino oficial dos leads da landing page Abertura de Filial.

Implementar envio real do formulário para CRM, webhook, HubSpot, RD Station, Bitrix, n8n, Make, Google Sheets, e-mail ou outro destino oficial definido.

Configurar confirmação real de recebimento antes de mostrar a tela de sucesso.

Instalar GTM com GA4, Meta Pixel e conversão do Google Ads, caso a página seja usada em mídia paga.

Configurar evento de conversão no submit real do formulário.

Confirmar qual domínio será considerado canônico em produção: https://aberturadefilial.investsmart.com.br ou https://aberturadefilial02.lovable.app.

Após corrigir envio, tracking e destino dos leads, atualizar o status para Validado."
"Abertura de Filial";"Landing Page";"Médio";"Recuperação de acesso não validada";"Definir com o time o destino oficial dos leads da landing page Abertura de Filial.

Implementar envio real do formulário para CRM, webhook, HubSpot, RD Station, Bitrix, n8n, Make, Google Sheets, e-mail ou outro destino oficial definido.

Configurar confirmação real de recebimento antes de mostrar a tela de sucesso.

Instalar GTM com GA4, Meta Pixel e conversão do Google Ads, caso a página seja usada em mídia paga.

Configurar evento de conversão no submit real do formulário.

Confirmar qual domínio será considerado canônico em produção: https://aberturadefilial.investsmart.com.br ou https://aberturadefilial02.lovable.app.

Após corrigir envio, tracking e destino dos leads, atualizar o status para Validado."
"Abra sua Filial";"Landing Page";"Alto";"Risco Alto";"Realizar teste real de lead na LP Abra sua Filial e confirmar se o cadastro aparece na planilha Google Sheets informada.

Validar qual camada faz o envio para a planilha: formulário direto, Google Apps Script, webhook, n8n, worker, backend, conector externo ou outro fluxo.

Confirmar quais campos estão sendo gravados na planilha: nome, e-mail, telefone, profissão/função, tempo de profissão, empresa/instituição, PL/custódia, source Futuro, campanha, pageUrl, UTMs e data de envio.

Definir quem acompanha a planilha e garantir visibilidade operacional para Jorge e/ou Samyr.

Instalar ou validar GTM, GA4, Meta Pixel e Google Ads Conversion Tag, disparando evento de conversão somente após envio real validado.

Confirmar qual domínio é o canônico em produção: aberturadefilial.investsmart.com.br ou URL Lovable.

Após teste confirmado, atualizar o status para Validado e revisar o risco operacional."
"Best Franquias";"Landing Page";"Alto";"Risco Alto";"Realizar teste real de lead na LP Best Franquias e confirmar se o cadastro aparece na planilha Google Sheets informada.

Validar qual camada faz o envio para a planilha: n8n, Google Apps Script, webhook, worker, backend, conector externo ou outro fluxo.

Confirmar quais campos estão sendo gravados na planilha: nome, e-mail, WhatsApp, cidade, estado, perfil profissional, modelo de interesse, mensagem, SOURCE_ID 203, campanha, pageUrl, UTMs e data de envio.

Confirmar se o n8n também encaminha os leads para Bitrix, especialmente para crm_dynamic_items_1166, ou se o Google Sheets será o destino principal/final.

Validar se Jorge e/ou Samyr possuem visibilidade desses leads por acesso à planilha ou outro canal.

Confirmar se a palavra-chave Queromais / Quero Mais está configurada fora do código, como em ManyChat, WhatsApp, n8n, CRM ou outra automação.

Com Marketing, definir captura de UTMs, envio da URL da página, identificador textual da landing page no payload e tracking de conversão.

Após teste confirmado, atualizar status para Validado e revisar o risco operacional."
"Indique e Ganhe até R$ 5 mil";"Landing Page";"Alto";"Risco Alto";"Realizar teste real de lead na LP Indique e Ganhe e confirmar se o cadastro aparece na planilha Google Sheets informada.

Validar qual camada faz o envio para a planilha: formulário direto, Google Apps Script, webhook, n8n, worker, backend, conector externo ou outro fluxo.

Confirmar quais campos estão sendo gravados na planilha: nome, e-mail, telefone, cidade/UF, source Dinheiro, campanha, pageUrl, UTMs e data de envio.

Definir quem acompanha a planilha e garantir visibilidade operacional para Jorge e/ou Samyr.

Validar o SLA prometido de 48h úteis na página.

Instalar ou validar GTM, GA4, Meta Pixel e evento de conversão somente após envio real confirmado.

Após teste confirmado, atualizar o status para Validado e revisar o risco operacional."
"Live ao Vivo / Melhor Profissão";"Landing Page";"Alto";"Risco Alto";"Validar com Tecnologia o link e ID da planilha Google Sheets usada pela LP Live ao Vivo.

Confirmar quem possui acesso à aba Leads e quem acompanha os novos cadastros.

Definir responsável operacional e SLA de atendimento dos leads.

Avaliar criação de destino redundante, como banco, fila, webhook n8n ou CRM oficial, para reduzir dependência exclusiva do Google Sheets.

Implementar retry ou alerta de falha caso a gravação na planilha não ocorra.

Com Marketing, definir a UTM/parâmetro Quero Mudar ou Queromudar e incluir esse identificador no payload como source/campanha.

Instrumentar tracking de conversão com GTM, GA4 e/ou Meta Pixel na página /obrigado, disparando evento apenas após envio real confirmado.

Avaliar captura adicional de utm_term, utm_content, gclid, fbclid e referrer."
"Maracanã Glow Experience";"Landing Page";"Alto";"Risco Alto";"Implementar integração adicional para que os leads captados pelo Bitrix24 também sejam gravados no Google Sheets informado.

Validar se a integração será feita via automação Bitrix, webhook, n8n, Google Apps Script, worker ou outro conector.

Após implementação, realizar teste real de lead e confirmar se o cadastro aparece tanto no Bitrix24 quanto na planilha Google Sheets.

Confirmar quais campos serão gravados na planilha: data/hora, nome, WhatsApp, e-mail, campanha, palavra-chave Torcedor, origem/source, pageUrl, UTMs, status no Bitrix, responsável e observações.

Confirmar se Jorge e/ou Samyr possuem acesso ou recebem notificação dos leads no Bitrix24 e na planilha.

Configurar ou validar captura de UTMs e origem dentro do Bitrix24.

Implementar ou validar evento Lead do Meta Pixel após confirmação real de envio do formulário Bitrix.

Criar fallback visual caso o embed Bitrix24 não carregue.

Após teste confirmado, atualizar o status da integração Google Sheets para Validado."
"Patrocínio Smart Summit - Samyr";"Landing Page";"Alto";"Risco Alto";"Realizar novo teste de lead na LP Patrocínio Smart Summit usando dados de auditoria.

Confirmar se o lead chega na planilha Google Sheets informada.

Validar qual camada faz o envio para a planilha: formulário direto, worker, webhook, n8n, Google Apps Script ou outro conector.

Confirmar quais campos estão sendo gravados na planilha e se incluem nome, WhatsApp, e-mail, source, palavra-chave, pageUrl, UTMs e data de envio.

Definir quem acompanha a planilha e garantir visibilidade para Jorge e/ou Samyr.

Após confirmação do teste real, atualizar o status para Validado e reduzir o risco operacional."
"Planeja Brasil - Orgânico";"Landing Page";"Alto";"Risco Alto";"Registrar separadamente o source UC_QZ91TG, o webhook n8n, o Meta Pixel e o GTM. Validar no n8n se os leads estão chegando corretamente com source UC_QZ91TG e confirmar destino final do fluxo."
